username,location,text,tweet_date,hashtags_extracted
Manash Barman,"Assam, India","US to share a total of 80 million doses of #COVID19 #vaccine with the world:

🌟 60 million #AstraZeneca 
🌟 20 million COVID-19 approved vaccines",2021-05-18 11:28:34,"covid19,vaccine,astrazeneca"
Shinil Payamal,"Pune, India","More than 96% of Britons develop #Covid19 antibodies after one dose of the #Pfizer or #AstraZeneca vaccine, 'remarkable' real-world data shows
https://t.co/NglhyfnrIr
#Coronavirus #Vaccination #News",2021-05-18 11:23:27,"covid19,pfizer,astrazeneca,coronavirus,vaccination,news"
moneycontrol,Mumbai,"Austria becomes the third European country to drop AstraZeneca from its Covid-19 immunisation programme, after Norway and Denmark.

@AstraZeneca #COVID19 #Vaccine #COVIDVaccine 
https://t.co/xWbB1cXykI",2021-05-18 11:23:04,"covid19,vaccine,covidvaccine"
moneycontrol,Mumbai,"India is unlikely to resume major exports of COVID-19 vaccines until at least October as it diverts shots for domestic use ⤵️

#COVID19 #Vaccine #Coronavirus #Exports #India 

https://t.co/bT1g9R8axZ",2021-05-18 11:23:00,"covid19,vaccine,coronavirus,exports,india"
GOVIND PAREEK,JODHPUR ,"May be it is compulsory to have a shoot while shot. 
.
Isn't it ?
.
.
.
.
#covid #COVIDSecondWaveInIndia #COVID19 #COVID19Vaccine #vaccine #vaccinated #Jabbed #Pfizer #PfizerVaccine #Covaxin #Covishield #VaccineRegistration",2021-05-18 11:20:23,"covid,covidsecondwaveinindia,covid19,covid19vaccine,vaccine,vaccinated,jabbed,pfizer,pfizervaccine,covaxin,covishield,vaccineregistration"
WION,India,"Of the 1.2 million fully vaccinated people in Switzerland, more than 130 people contracted #Covid19 after their second dose

https://t.co/wepjEqDs1Q",2021-05-18 11:20:00,covid19
Digpu,"New Delhi, India","This way has the potential to dramatically cut development times for new vaccines, by measuring neutralising antibody levels as a 'proxy' for immune protection from COVID-19

#Covidvaccine #Covid19 #NewsStudy #Digpu #News

https://t.co/qFKZ6hKdfb",2021-05-18 11:16:46,"covidvaccine,covid19,newsstudy,digpu,news"
Peter Wolfinger,"Selden, NY","Some Of My Friends Posting On Social Media Saying They're Not Taking The Vaccine As It's Not FDA Approved Are The Same Ones Who Snorted Non FDA Approved Cocaine On Top Of A Dirty Toilet Tank In A Rat Infested Strip Club. 🤣
#vaccine #vaccines #coronavirus #covid #COVID19",2021-05-18 11:16:02,"vaccine,vaccines,coronavirus,covid,covid19"
Doha News,"Doha, Qatar","💉 Both of the Qatari approved mRNA Covid-19 vaccines from Pfizer/BioNTech and Moderna have been proven to be effective against the Indian coronavirus variant, according to a US-based study

Here's what you need to know👇  #coronavirus #vaccine #covid19

https://t.co/z4Ev2OLGTU",2021-05-18 11:15:49,"coronavirus,vaccine,covid19"
Bala A Kumar,"Bangalore, India","Has become fashion in Delhi to seek COVID-19 vaccine priority: Delhi HC 
https://t.co/xjCA6Caoh0
-via @inshorts meant for all AAP leaders who have &lt;2 Cr populations and demand priorities over rest of the state w/o any efforts either for O2 or for rest SHAME",2021-05-18 11:15:26,
The Laker News - Pat Healey 🇨🇦,"Enfield, N.S.","“It’s like planning with a blindfold on with one arm tied behind your back."" @Hubbardscrew of #FallRiverNS talked with us about the #COVID19 vaccine rollout, and her dog Roger. Video: @DagleyMedia #Halifax #NS 

https://t.co/ml2Bp1H7VD",2021-05-18 11:15:00,"fallriverns,covid19,halifax,ns"
RemotelyHuman,Right behind you.,"@SavLocal Living in Florida where our legislature has outlawed vaccine passports for Covid19, my fear is that other countries will be requiring some form of Covid passport and that I will be legally barred from obtaining one.  Because public health has become political.",2021-05-18 11:08:49,
CBC Ottawa,Ottawa,"COMING UP | All Ontarians who are 18 or will be turning 18 in 2021 are eligible to book a #COVID19 vaccine appointment at 8 a.m. ET.

More info and the booking link: https://t.co/ez5evLXtuR",2021-05-18 11:08:39,covid19
NPHCDA,"Abuja, Nigeria","We advise that people who have received their first dose of the #COVID19 Vaccine should check their vaccination cards for the date of their second dose, and ensure that they receive the second dose to gain full protection against COVID-19.
#YesToCOVID19Vaccine https://t.co/NIzfZfWBP9",2021-05-18 11:07:57,"covid19,yestocovid19vaccine"
Lydia Worldwide,Thailand,"The Ministry of Public Health opens a call center 180 lines, which can receive 20,000 calls a day to answer questions about COVID-19 vaccine appointment on the “Mor Prom,” phone application.

Cr: PPTV HD 36

#COVID19 #COVIDEmergency #โควิดวันนี้ #ฉีดวัคซีนหยุดเชื้อเพื่อชาติ https://t.co/VF1nUlixYN https://t.co/W1wfW8nn2P",2021-05-18 11:07:20,"covid19,covidemergency,โควิดวันนี้,ฉีดวัคซีนหยุดเชื้อเพื่อชาติ"
Mint,India,"Singapore approves #COVID19 vaccine for use in 12 to 15-year-olds

https://t.co/CMQWhFCKDJ https://t.co/Plyk20Z7AO",2021-05-18 11:07:10,covid19
Liverpool Women's,"Liverpool, Merseyside, UK","Dr Alice Bird, Consultant Obstetrician @LiverpoolWomens  addresses some common concerns about the Covid-19 vaccine and pregnancy.  https://t.co/BvuUwt4y2t 

If you're pregnant, you can have the Covid-19 vaccine when offered.

For further advice, visit https://t.co/q9MQWX3YFP",2021-05-18 11:05:16,
Health Check,"मुंबई, भारत",The United States has signalled support for a waiver on intellectual property rights for #COVID19 #vaccines. This is something India has also been lobbying for globally. Will this mean more #COVID vaccines for the world? https://t.co/Tx5K6bBPkw,2021-05-18 11:05:01,"covid19,vaccines,covid"
Health-e News,South Africa,Senior citizens in the North West are anxious to receive their #COVID19 vaccine which comes with hope of surviving the virus. We spoke to elderly persons in the province: https://t.co/jEbG4NAnvn @NorthWestDOH @COVID_19_ZA @CovidCommsSA @CovidCoalition #COVID19vaccine #Phase2,2021-05-18 11:04:31,"covid19,covid19vaccine,phase2"
HT Sports,India,"UK health department to administer second dose of #Covid19 vaccine to Kohli &amp; Co: Report

#ENGvIND #WTCFinal

https://t.co/ZtsCAOaj1o",2021-05-18 11:03:25,"covid19,engvind,wtcfinal"
Covid Current,,"Here is how many people in the UK that have had the first dose of the covid 19 vaccine! 
#covid #covid19 #coronavirus #solihull #uk #wearamask #socialdistance #vaccine #covidvaccine https://t.co/A2IcbZVvn0",2021-05-18 11:02:14,"covid,covid19,coronavirus,solihull,uk,wearamask,socialdistance,vaccine,covidvaccine"
Sis,AMERICA,"@Jim_Jordan January 6th was always about power. It was a deadly insurrection. 
It's easy Jim. If you want to live without long Covid or some other bad result, like death for instance, get the Covid19 vaccine.
Republican efforts against the vaccine is all about their power over your life.",2021-05-18 11:00:05,
Jagran English,"New Delhi, India","PM @narendramodi stresses on local containment zones, increase in vaccine supply as India battles 2nd COVID-19 wave 

#COVID19 

https://t.co/lA6hnoR5nE",2021-05-18 11:00:02,covid19
Advocates Philippines,Makati City,"Canada's Medicago and British pharmaceutical giant GlaxoSmithKline on Tuesday announced positive interim results for their Covid-19 vaccine candidate.
#COVID19 #vaccine 

https://t.co/PimgBbxPle",2021-05-18 11:00:00,"covid19,vaccine"
Bhekisisa,Johannesburg,The world’s wealthiest countries hold half of the global #COVID19 #vaccine supply — despite only having 14% of the global population. Here’s why vaccine development also needs to include delivery. https://t.co/g3VLDHUq2a https://t.co/YT4AKIe1Sj,2021-05-18 11:00:00,"covid19,vaccine"
Radeas,"Wake Forest, North Carolina","We're back at Ting Park this week administering vaccines. Come see us and get your vaccine the Radeas way! 
#covid #COVID19 #coronavirus #wakecounty #wakecountync #wakecountyschools #wakecountystrong #vaccine #vaccinations #covid19vaccine #covidvaccine https://t.co/Zld1D8Da1u",2021-05-18 11:00:00,"covid,covid19,coronavirus,wakecounty,wakecountync,wakecountyschools,wakecountystrong,vaccine,vaccinations,covid19vaccine,covidvaccine"
Hindustan Times,India,"UK health department to administer second dose of #Covid19 vaccine for Virat Kohli and Team India: Report

https://t.co/EDSaBqpJaE https://t.co/7NCmCqtJR1",2021-05-18 10:59:18,covid19
TOI Sports,"New Delhi, India","#INDvENG #WTCFinal #COVID19 

UK health department to administer second dose of COVID-19 vaccine for @imVkohli and boys 

Read: https://t.co/Jg8Pazjri8 https://t.co/R53rU7b5Xi",2021-05-18 10:57:43,"indveng,wtcfinal,covid19"
Yonkers Public Schools,"Yonkers, NY USA","Let's go! #COVID19 #Vaccines for @YonkersSchools students ages 12 &amp; up - in their own school! Parents/Guardians - let us know your interest by Friday at noon! 
🔗https://t.co/R0ZUmP2ofe
#YPSTogetherSafely https://t.co/gBZSnMRW4G",2021-05-18 10:56:31,"covid19,vaccines,ypstogethersafely"
Practice Managers UK 💙,0330 111 6459,"People aged 36 and over and people who turn 36 before 1st July 2021 can now book a vaccine! 😃

https://t.co/BZ3DX5iKHV 
#covidvaccine #covid19 #COVID19Vaccine",2021-05-18 10:56:17,"covidvaccine,covid19,covid19vaccine"
Epidemic Index,United Kingdom,"🇮🇳India #Covid19 #pandemic UPDATE #CovidNotOver
Graph of R number/EPI. Downward trend! https://t.co/SoMcgl6R3i
......#CoronavirusIndia #COVID19India #indiacovid #India #CovidIndia #IndiaCovidCrisis #Asia #coronaindia #coronavirus #Europe #SecondWave #vaccine #VaccineForAll #COVID https://t.co/XvF9eUJizD",2021-05-18 10:55:56,"covid19,pandemic,covidnotover,coronavirusindia,covid19india,indiacovid,india,covidindia,indiacovidcrisis,asia,coronaindia,coronavirus,europe,secondwave,vaccine,vaccineforall,covid"
The Curator,USA,#Pfizer/#BioNTech COVID19 #vaccine has approved #storage period #extended https://t.co/42kjjtijOa,2021-05-18 10:53:52,"pfizer,biontech,vaccine,storage,extended"
Aimme Sitthisenee💎,Bangkok,"In some countries, vaccine languishes unused because of hesitancy and chaotic or­ ganisation. Covid­19 has not yet run its course. But vaccines have created the chance to save millions of lives. The world must not squander it. #Economist #COVID19 💉 https://t.co/m9Aq8GsXjo",2021-05-18 10:53:01,"economist,covid19"
Patricia Rey González,"Geneva, Switzerland","We need extraordinary steps to increase access to #COVID19 #vaccine and we need them now. 

👇🏻 Our statement @ICRC and @ifrc with recommendations on how to do so

https://t.co/rMuw1KbCxv",2021-05-18 10:52:30,"covid19,vaccine"
New Straits Times,Malaysia,"#NSTnation The #Covid19 Vaccine Candidate Selection Committee (#JKPCV) is evaluating the possibility of extending the time interval between two doses of the Covid-19 vaccine, as being mulled by #Singapore. 

https://t.co/iUXJ6rV2ZI",2021-05-18 10:50:35,"nstnation,covid19,jkpcv,singapore"
Omega Diagnostics,"Alva, Clackmannanshire","""This could accelerate vaccine trials by helping to rapidly identify vaccine candidates that are likely to confer protection. It could also help researchers predict how a person’s immunity may change over time."" 

#COVID19 | @newscientist | #ODX 
https://t.co/qesFKYhotE",2021-05-18 10:49:41,"covid19,odx"
Omega Diagnostics,"Alva, Clackmannanshire","""The team found that neutralising antibody levels were highly predictive of immune protection, and could be used to predict the efficacy of a different #COVID19 vaccine.""

@newscientist | #ODX
https://t.co/qesFKYhotE",2021-05-18 10:49:40,"covid19,odx"
Omega Diagnostics,"Alva, Clackmannanshire","""David Khoury at @UNSW in Sydney, Australia, and colleagues analysed data from seven #COVID19 vaccine studies and one study of people who had been infected with the coronavirus and recovered.""

@newscientist | #ODX
https://t.co/qesFKYhotE",2021-05-18 10:49:39,"covid19,odx"
Omega Diagnostics,"Alva, Clackmannanshire","""A person’s levels of neutralising antibodies following #COVID19 vaccination or natural infection could help predict their level of immune protection, a study suggests.""

@newscientist | #ODX | THREAD ⤵️
https://t.co/qesFKYhotE",2021-05-18 10:49:39,"covid19,odx"
Unicef UK Media,,"UNICEF calls on global leaders to share excess #COVID19  #vaccine doses with the #COVAX scheme, as ""a minimum, essential"" measure to plug an ""emergency"" gap triggered by a drop-off in Indian exports. https://t.co/ksSbutHs8n",2021-05-18 10:49:30,"covid19,vaccine,covax"
Yogesh patel,saraipali chattisgarh,"Apply the vaccine as soon as possible.🙏
#GetVaccinated #CovishieldVaccine 
#COVID19 #May18 #Covid #COVIDSecondWaveInIndia https://t.co/sBIwverZRB",2021-05-18 10:46:32,"getvaccinated,covishieldvaccine,covid19,may18,covid,covidsecondwaveinindia"
Your Morning,Canada,"The Ontario government is expanding bookings to anyone 18+ a week early, because of a big vaccine delivery this week. The change take effect at 8:00 ET. #COVID19 https://t.co/Op2aa2wyD3",2021-05-18 10:46:15,covid19
TheHealthBookStore,"London, England",Who's eligible for their second #Covid19 vaccine dose early - and how to book it. https://t.co/SLPDQJ7eYg,2021-05-18 10:46:07,covid19
Stef.,Turtle Island,"@HannahcantRead @TabitaSurge @Muna_Abdi_Phd The vaccine builds your immune system to #COVID19 thru antibodies. Those antibodies will target any covid left in your body. Your new antibodies will find it &amp; destroy it. As your body builds antibodies, you sometimes feel a little worn down a minor side effects for a day or two.",2021-05-18 10:45:56,covid19
POST Online Media,World,WHO: Speed up COVID-19 vaccine donation https://t.co/OFqgZMKTZw #Health https://t.co/eQQT8822Zi #news #explore #follow 744,2021-05-18 10:45:07,"health,news,explore,follow"
POST Online Media,World,CHMP recommends more flexible storage conditions for BioNTech/Pfizer COVID-19 vaccine https://t.co/dmSMlrg43k #Health https://t.co/eQQT8822Zi #news #explore #follow 95,2021-05-18 10:45:06,"health,news,explore,follow"
Cioccolata234 🇵🇸 #SaveSheikhJarrah,Aotearoa New Zealand.,"Covid-19: Vaccine roll-out at 'real risk' of not meeting planned timetable, Auditor-General says | https://t.co/RRxgTQ8Dfg ""Covid-19: Vaccine roll-out at 'real risk' of not meeting planned timetable, Auditor-General says | https://t.co/RRxgTQ8Dfg"" https://t.co/gVV6US9iur",2021-05-18 10:43:58,
NHS North Central London CCG – Barnet,Barnet,"Join us on Friday 21 May for an informal Q&amp;A session where we will be running a webcast surrounding #COVID19 vaccine hesitancy in English and #Romanian with #community leaders and local GPs. More information: https://t.co/KSc9wPV0Y3
@BarnetCouncil @RCILondon #barnetwellbeing",2021-05-18 10:42:07,"covid19,romanian,community,barnetwellbeing"
Matthew Rimmer,"Brisbane, Queensland","Europe will not be safe from COVID-19 until the world is safe https://t.co/FNeBhCf5nH @Kazatchkine
@DMiliband #COVID19 #access2meds #TRIPSwaiver #PeoplesVaccine",2021-05-18 10:42:04,"covid19,access2meds,tripswaiver,peoplesvaccine"
The Edge Malaysia,South East Asia,Singapore approves Covid-19 vaccine for use in 12- to 15-year-olds - Reuters https://t.co/jlnDGla8Ew,2021-05-18 10:42:04,
IndiaSpend,Mumbai,💉 Are patent waivers enough to immediately speed up #COVID19 #vaccine supplies? We report. 🔗 https://t.co/J1D8f8tV0M https://t.co/qHc3Sf7nLF,2021-05-18 10:42:01,"covid19,vaccine"
HTMumbai,Mumbai,"The decision came in the wake of the civic body failing to get any response from #Covid19 vaccine manufacturers as the deadline of May 18 ended.

(reports @MehulThakkar_)

https://t.co/7uzgeVZUr9",2021-05-18 10:40:02,covid19
Chorley&RoyalPreston,Preston and Chorley,"Join the millions already vaccinated against #COVID19.

Get more information about who is eligible for the vaccine at: https://t.co/AA7kT2oKz7 https://t.co/vJrDLppZmS",2021-05-18 10:40:02,covid19
Francis_Young,"Melbourne, Victoria","Great idea. Lets open the borders now. Lets get back to normal. If you're scared of  covid19 go get the vaccine. If you're not scared of covid, then live with the consequences.  It's a win win for everyone. Let's get back to normal now! #covid19 #lStandWithVirginAustralia https://t.co/T5mjU5vJC4",2021-05-18 10:39:29,"covid19,lstandwithvirginaustralia"
Dave Schulz,"Niagara, Ontario, Canada","#Canada: @Sanofi, GlaxoSmithKline set to start Phase 3 trials for #COVID19 #vaccine after earlier setback
https://t.co/qXvcJb1ran",2021-05-18 10:38:30,"canada,covid19,vaccine"
Matthew Rimmer,"Brisbane, Queensland",Taiwan mobilises diplomats to seek out faster COVID-19 vaccine delivery amid rising cases https://t.co/xRjT8n7ENr #COVID19 #access2meds #Taiwan,2021-05-18 10:36:30,"covid19,access2meds,taiwan"
Zumbudda,South Africa,"Singapore has vaccinated 1.9 million people, or a third of the population, with the first dose. However, it will begin a quasi-lockdown on Sunday with restrictions similar to what was in place last summer. #COVID19 #vaccine https://t.co/FBCtrrk4NU",2021-05-18 10:36:04,"covid19,vaccine"
Matthew Rimmer,"Brisbane, Queensland","NT Chief Minister Michael Gunner defends COVID-19 vaccine utilisation rate, called 'staggeringly' low https://t.co/oFR1TIyGAO #COVID19 #access2meds #NT",2021-05-18 10:32:18,"covid19,access2meds,nt"
Satlife Jones,"Communist, New York ","Fuck your hoe ass vaccine! #PfizerVaccine #modernavaccine #johnsonandjohnson #covid19

https://t.co/rYyh5nNnju",2021-05-18 10:31:13,"pfizervaccine,modernavaccine,johnsonandjohnson,covid19"
Matthew Rimmer,"Brisbane, Queensland",Jacinda Ardern's government pushes to scrap tariffs on vaccines https://t.co/jWWVW2CxNI #COVID19 #trade #nzpol,2021-05-18 10:30:47,"covid19,trade,nzpol"
Petra Veteska,West Midlands,"I’ve had my covid #vaccine today 💗
Side effect? Craving for doughnuts 🍩
.
#COVID19 #PfizerVaccine #tuesdayvibe https://t.co/grhwSs93sh",2021-05-18 10:30:00,"vaccine,covid19,pfizervaccine,tuesdayvibe"
BOOM Live,"Mumbai, India","Self-described virologist Geert Vanden Bossche's open letter to WHO falsely claims that the large-scale #COVID19 vaccination drives currently underway around the world should cease before they produce they produce more deadly variants of the #coronavirus.

https://t.co/uyobvULmI8",2021-05-18 10:30:00,"covid19,coronavirus"
Pragmatic Healthcare Services 🫂,"Lewisham, London.","The research found that 96.42% of people who had either Covid19 vaccine had developed antibodies 28 to 34 days after their first dose. That rose to 99.08% within seven to 14 days of the second jab.

https://t.co/RCyFr1Lqs2

#RoadmapToRecovery #COVID19Vaccine",2021-05-18 10:29:36,"roadmaptorecovery,covid19vaccine"
NBT WORLD News,"Bangkok, Thailand","How some of the different COVID-19 vaccines compare, and why do we need so many types of vaccine? 

Read more: https://t.co/VIXs7Hnpej

#COVID19 #coronavirus #vaccine #typesofvaccine #efficacy #pandemic #information https://t.co/IUz4pNVkD1",2021-05-18 10:28:40,"covid19,coronavirus,vaccine,typesofvaccine,efficacy,pandemic,information"
Pharmtech Focus,,"Sanofi and GSK COVID-19 Vaccine Candidate Demonstrates Strong Immune Responses Across All Adult Age Groups in Phase 2 Trial
https://t.co/ZbYT9uVCWp
#PharmTech #PharmaceuticalNews #Analysis #Data #Investment #DrugDiscovery #COVID19 #Regulation #Mergers #WhosWho #Pharma https://t.co/WcuzeCuLwU",2021-05-18 10:27:04,"pharmtech,pharmaceuticalnews,analysis,data,investment,drugdiscovery,covid19,regulation,mergers,whoswho,pharma"
Royal Free London,London,"If you're aged 37+ (or your 37th birthday is before 1 July 2021) you can now get your first dose of the #COVID19 vaccine at @Saracens StoneX Stadium vaccination centre. The sooner you get your jab, the sooner you'll be protected - so book it today: https://t.co/ymZq43rine https://t.co/mKaTcItEHH",2021-05-18 10:26:46,covid19
PhatzNewsRoom,North America,"GLOBAL COVID-19 UPDATES: Germany quarantines all in 2 high-rise buildings
#Europe
#China
#AsiaPacific
#IndoChina
#SouthAmerica
#MiddleEast
#CDC
#WHO
#COVID19
#USA
#Pandemic
#Testing
#Mandates
#Masks
#Deaths
#Vaccine 
#Variants 
https://t.co/Rjtp10w4ru",2021-05-18 10:24:17,"europe,china,asiapacific,indochina,southamerica,middleeast,cdc,who,covid19,usa,pandemic,testing,mandates,masks,deaths,vaccine,variants"
E.H. Hau #GetVaccinated,"Beautiful Vancouver, Canada","#CovidVaccination: They're Not Anti-Vaccine, but These Parents Are Hesitant About the #COVID Shot #VaccinesWork #vaccinesaveslives #VaccineForALL #Coronavirus #Covid19 #Retweet #IARTG #Vaccine #Vaccines #Vaccination https://t.co/aCI6j7d2V4",2021-05-18 10:23:57,"covidvaccination,covid,vaccineswork,vaccinesaveslives,vaccineforall,coronavirus,covid19,retweet,iartg,vaccine,vaccines,vaccination"
Nihar Kanta Panda,Bhubaneswar ,"Govt Panel Suggests Extending #Vaccination #Gap After #Covid Infection to 9 Months.

The National Technical Advisory Group on Immunisation approached the government for approval for a longer gap. 

ଏତେ ଦିନ ପରେ ଆଉ ଟିକା କଥା ମନେ ରହିବ ?
#vaccine 
#COVID19  
#NTAGI https://t.co/sGRWQe1Un1",2021-05-18 10:23:31,"vaccination,gap,covid,vaccine,covid19,ntagi"
Your Morning,Canada,"Brig.-Gen. Krista Brodie, a 32-year veteran of the Armed Forces, is now heading up the country's vaccine rollout. #COVID19 https://t.co/oh55bInOmz",2021-05-18 10:19:26,covid19
Gina,,"@HerdImmunity12 @GFL9112 Most of the people in hospital now with Covid are those who haven’t been vaccinated. You’re being lied to by anti-vaxxers about the health risks of vaccines. 

I suggest you start doing your research 

https://t.co/0TINAtI8xr",2021-05-18 10:18:25,
NBT WORLD News,"Bangkok, Thailand","The National Health Security Office (NHSO) has announced that people who have allergic reactions to COVID-19 vaccines will be compensated by the office.

Read more: https://t.co/NSlw3fqseD

#NHSO #allergicreactions #vaccine #compensation #COVID19 #ข่าวด่วน https://t.co/i4WFifC0Vt",2021-05-18 10:17:56,"nhso,allergicreactions,vaccine,compensation,covid19,ข่าวด่วน"
The Newsmen,,"A #Covid19 vaccine developed by pharmaceutical giants #Sanofi and Glaxo Smith Kline (GSK) has shown strong rates of neutralising antibody responses against the infectious #Coronavirus disease in the Phase-II trial.
#CovidVaccine 
https://t.co/MAfPZ0S4Zu",2021-05-18 10:17:52,"covid19,sanofi,coronavirus,covidvaccine"
John Tory,"Toronto, Ontario","💉1,767,531 #COVID19 vaccine doses administered to date

TODAY:
🏢9 City-run clinics
🏥33 hospital-run clinics
🏪170+ pharmacies
🚑Hot spot pop-up and mobile clinics

🔎Eligibility info: https://t.co/gT1TbFfkgd https://t.co/tjViagRps2",2021-05-18 10:16:35,covid19
CNA,Singapore,"“Instead of having a good number of people getting maximum protection, we make sure we get the maximum number of people get good protection,” says Health Minister Ong Ye Kung, as Singapore extends the interval between #COVID19 vaccine doses https://t.co/Dzrj64ZGFd https://t.co/F902cCitsB",2021-05-18 10:15:42,covid19
Soon Be Packing It🎒,,"@WeRRestaurants @NRFnews 
If ask customers to show proof of covid vaccine, does that not go against HIPAA rules? 

@AmerMedicalAssn @CDCgov 

#COVID19 #TuesdayFeeling",2021-05-18 10:15:27,"covid19,tuesdayfeeling"
dave paterson,england,"Its been over 2 weeks since the test event / blossoms gig. Anyone got any stats to whether it went swimmingly or how many people been Covid positive since or even died? I don't watch the news because most of it is bad news. #COVID19
#Blossoms #testevent 
#testing #vaccine",2021-05-18 10:15:12,"covid19,blossoms,testevent,testing,vaccine"
702,"Gauteng, South Africa","South African Medical Association President, Dr. Angelique Coetzee discusses the need for more COVID-19 vaccine sites. #letswalkthetalk #MiddayReport #COVID19",2021-05-18 10:13:25,"letswalkthetalk,middayreport,covid19"
Max Planck Society,Deutschland,Are #patents hindering the global availability of #vaccines against #Covid19? A ten-point statement shows why a suspension of intellectual property rights would neither foster vaccine production nor lead to a more equitable distribution  https://t.co/m3nPJST72x @mpi_inno_comp,2021-05-18 10:09:37,"patents,vaccines,covid19"
"✨Michael Krivich, MHA, LFACHE✨","Working Globally, USA, Chicago","10 Reasons to Take the COVID-19 Vaccine – Because I Don’t Want You to Kill Me, Others #vaccination, #covid19, #pandemic, #herdimmunity, #life, #normality, #tenreasons, #blog, #blogging https://t.co/Ht0Uyfw7IH",2021-05-18 10:09:10,"vaccination,covid19,pandemic,herdimmunity,life,normality,tenreasons,blog,blogging"
CNA,Singapore,Ministry of Health to deploy teams to inoculate homebound persons who are unable to travel to a vaccination centre to receive the #COVID19 vaccine https://t.co/jLsYiJE4jg https://t.co/bohBog4xOT,2021-05-18 10:09:02,covid19
"✨Michael Krivich, MHA, LFACHE✨","Working Globally, USA, Chicago","Extra, Extra, Read All About It! 10 Reasons for Deniers for Getting Your COVID-19 Vaccine. #vaccination, #vaccine, #covid19, #pandemic, #herdimmunity, #life, #normality, #tenreasons, #blog, #blogging https://t.co/HAYYlkOrKr",2021-05-18 10:08:57,"vaccination,vaccine,covid19,pandemic,herdimmunity,life,normality,tenreasons,blog,blogging"
CNA,Singapore,People aged 40 to 44 years will be invited to register for their #COVID19 vaccinations from tomorrow; will progressively move to younger age bands: MOH https://t.co/xfkS7EuUbc https://t.co/FTrBu7mECR,2021-05-18 10:08:34,covid19
OTV,"Bhubaneswar, India","Centre Working On Fortnightly Schedule To Streamline COVID Vaccine: PM Modi 

#COVID19 #CovidVaccine 
https://t.co/cpN7CAvlFL",2021-05-18 10:08:23,"covid19,covidvaccine"
CNA,Singapore,Pfizer-BioNTech #COVID19 vaccine approved by HSA for children aged 12 to 15 years; MOH to work with MOE on vaccination of this age group https://t.co/xfkS7EuUbc https://t.co/28irqT4brM,2021-05-18 10:08:09,covid19
Andrew Summers,Plague Island ,"Listening to the wireless and how a bunch of people will be chanting to help repel the Covid.
If anything , probably should have tried that a year ago. 😏
#vaccine #takethevaccine #COVID19 #Medecine",2021-05-18 10:06:50,"vaccine,takethevaccine,covid19,medecine"
Quint Neon,"Noida, India","From #Covishield to #SputnikV, #BCAunty assesses how #COVID19 vaccines across the world are performing.
https://t.co/lIFCBc7l8t",2021-05-18 10:04:42,"covishield,sputnikv,bcaunty,covid19"
Covid-19 VaccineTracker,,"Share of the population that has received ALL covid vaccine doses.
Sources: Our World In Data.

100% vaccinated:
🇬🇮- Gibraltar

To drill down to country details, click here: https://t.co/LfnDuDDgf1

#curbal #COVID19 #vaccinetracker #PowerBI #PowerAutomate https://t.co/wxpJsEE19t",2021-05-18 10:03:04,"curbal,covid19,vaccinetracker,powerbi,powerautomate"
The Jerusalem Post,Israel,"• There are no plans to open a #Pfizer research and development center in #Israel, a top-level corporate spokeswoman with the company told The Jerusalem Post.

#coronavirus • #COVID19 • #vaccine 

https://t.co/Z2xvJiQ0nG",2021-05-18 10:02:19,"pfizer,israel,coronavirus,covid19,vaccine"
Sarah,,https://t.co/IwFURRhjO7 Israeli researchers study into immunity against COVID19 found protection from virus is no better after injection of Pfizer’s experimental mRNA vaccine than after recovering from previous infection &amp; question the need to vaccinate those previously-infected.,2021-05-18 10:00:56,
City of Toronto,Toronto ON Canada,"#TeamToronto #COVID19 vaccination update for May 18: 1,767,531 vaccine doses have been administered. News release: https://t.co/2S0so6Wwee",2021-05-18 10:00:53,"teamtoronto,covid19"
Sutton Council,"Sutton, London","Join us later this week for our live Q and A session, debunking the myths on fertility and pregnancy with the COVID-19 vaccine. 

The session is being held online at 6.30pm this Thursday (20 May). Spaces are limited - please register for a ticket here: https://t.co/RIFZtpuHYI https://t.co/HJ8yoS6GAF",2021-05-18 10:00:05,
Ray Knight Casting,"Elstree Studios, UK",Ray Knight Casting supporting artists... have you had your vaccine/s yet? #covid #covid19 #coronavirus #vaccine #pandemic https://t.co/XD9HNIH6RQ,2021-05-18 10:00:01,"covid,covid19,coronavirus,vaccine,pandemic"
RoofersHound,linconshire,"‘Globally there are 72 confirmed re-infections of covid, out of over 163 million cases. 3 confirmed deaths’

Yes.....once recovered you are immune....

Vaccine not really necessary ...#COVID19",2021-05-18 09:59:34,covid19
HM Government SW,"Bristol, England","The second dose of the #COVID19 vaccine helps to provide maximum protection.

Make sure you attend both appointments ✅✅

Find out more 👉 https://t.co/ixdizKRIiD https://t.co/eHrgeOUaEH",2021-05-18 09:57:13,covid19
وزارة الصحة ووقاية المجتمع - MOHAP UAE,United Arab Emirates,"The working hours of the COVID-19 vaccine canters 
#TogetherWeRecover
#covid19
#mohap_uae https://t.co/Z8862OBoav",2021-05-18 09:55:45,"togetherwerecover,covid19,mohap_uae"
Legal Leaks,"London, England","The use of fear to control behaviour in Covid pandemic was ‘totalitarian’ scientists find but which has done little to deter government from strict adherence to the Rockefeller ""Lockstep"" blue-print and agenda, fear being a core essential #Covid19 #vaccine https://t.co/gvFkjP0Fyo",2021-05-18 09:53:23,"covid19,vaccine"
